"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2026","22,995.65","23,074.15","23,088.95","22,932.05","3.19B","-0.02%"
"06/29/2026","23,000.00","23,112.60","23,148.75","22,943.85","4.21B","-0.49%"
"06/25/2026","23,113.70","23,224.40","23,289.95","23,093.90","2.76B","-0.05%"
"06/24/2026","23,126.30","22,992.90","23,183.60","22,941.05","2.84B","0.50%"
"06/23/2026","23,010.95","23,260.00","23,302.25","22,976.95","2.97B","-1.08%"
"06/22/2026","23,261.85","23,240.90","23,289.75","23,213.85","2.63B","0.51%"
"06/19/2026","23,144.20","23,082.70","23,174.65","23,023.35","3.65B","-0.27%"
"06/18/2026","23,206.45","23,129.90","23,221.35","23,090.35","3.45B","0.42%"
"06/17/2026","23,109.70","23,048.70","23,120.90","22,990.95","3.95B","0.49%"
"06/16/2026","22,997.25","22,962.45","23,009.40","22,902.35","3.26B","0.46%"
"06/15/2026","22,891.30","22,955.80","23,019.45","22,859.65","3.43B","1.29%"
"06/12/2026","22,599.80","22,376.45","22,618.70","22,295.15","3.53B","2.19%"
"06/11/2026","22,114.45","22,128.55","22,258.90","22,063.75","3.14B","-0.54%"
"06/10/2026","22,233.85","22,377.00","22,455.90","22,200.35","3.08B","-0.61%"
"06/09/2026","22,370.15","22,298.85","22,390.50","22,233.45","3.63B","0.89%"
"06/08/2026","22,173.70","22,191.55","22,357.70","22,119.30","2.88B","-1.30%"
"06/05/2026","22,465.35","22,569.45","22,614.65","22,379.05","3.45B","-0.14%"
"06/04/2026","22,497.70","22,362.40","22,559.85","22,328.35","3.65B","0.20%"
"06/03/2026","22,451.85","22,488.15","22,505.00","22,202.60","4.10B","-0.31%"
"06/02/2026","22,521.10","22,302.05","22,563.25","22,253.00","3.61B","0.37%"
"06/01/2026","22,437.95","22,760.80","22,810.20","22,414.80","3.71B","-0.97%"
"05/29/2026","22,657.00","23,012.80","23,075.25","22,598.45","6.72B","-1.35%"
"05/27/2026","22,967.40","22,895.75","22,999.45","22,886.45","4.58B","0.31%"
"05/26/2026","22,897.20","22,925.65","23,015.00","22,858.20","3.18B","-0.14%"
"05/25/2026","22,929.45","22,859.50","22,949.95","22,849.10","3.02B","1.23%"
"05/22/2026","22,651.30","22,639.70","22,727.90","22,604.80","2.87B","0.21%"
"05/21/2026","22,602.85","22,745.90","22,781.00","22,557.00","3.39B","0.11%"
"05/20/2026","22,578.15","22,379.85","22,597.65","22,316.45","2.87B","0.25%"
"05/19/2026","22,521.75","22,501.15","22,646.65","22,485.45","3.61B","0.27%"
"05/18/2026","22,461.05","22,382.00","22,494.10","22,150.50","3.43B","-0.31%"
"05/15/2026","22,531.15","22,664.40","22,710.85","22,502.60","4.04B","-0.36%"
"05/14/2026","22,613.10","22,505.00","22,675.80","22,338.65","3.41B","1.05%"
"05/13/2026","22,377.35","22,292.15","22,532.00","22,208.50","4.06B","0.35%"
"05/12/2026","22,299.90","22,728.70","22,768.10","22,270.95","3.75B","-2.18%"
"05/11/2026","22,795.75","22,957.40","22,962.15","22,777.45","4.34B","-1.38%"
"05/08/2026","23,115.65","23,166.05","23,185.65","23,080.30","2.96B","-0.42%"
"05/07/2026","23,214.00","23,219.35","23,304.50","23,142.45","3.27B","0.35%"
"05/06/2026","23,133.40","22,978.95","23,150.90","22,849.95","3.85B","1.43%"
"05/05/2026","22,808.25","22,796.65","22,842.25","22,672.80","3.34B","-0.10%"
"05/04/2026","22,830.75","22,783.80","22,954.30","22,709.75","3.87B","0.65%"
"04/30/2026","22,683.55","22,736.80","22,759.00","22,498.00","3.11B","-0.82%"
"04/29/2026","22,871.00","22,875.30","23,026.95","22,825.15","3.37B","0.46%"
"04/28/2026","22,765.60","22,808.15","22,904.00","22,733.90","3.21B","-0.24%"
"04/27/2026","22,821.40","22,645.85","22,853.85","22,640.85","2.85B","1.11%"
"04/24/2026","22,570.05","22,788.80","22,872.05","22,472.50","2.73B","-1.06%"
"04/23/2026","22,810.85","22,873.15","22,957.60","22,788.60","2.97B","-0.79%"
"04/22/2026","22,991.50","22,975.85","23,054.50","22,923.55","3.27B","-0.22%"
"04/21/2026","23,042.35","22,898.95","23,064.35","22,893.60","3.15B","0.77%"
"04/20/2026","22,865.80","22,906.65","22,987.60","22,717.55","3.28B","-0.02%"
"04/17/2026","22,869.40","22,660.55","22,882.15","22,605.15","4.04B","0.94%"
"04/16/2026","22,656.30","22,757.05","22,792.25","22,529.65","3.83B","0.27%"
"04/15/2026","22,595.55","22,506.95","22,621.90","22,496.75","3.71B","1.88%"
"04/13/2026","22,179.05","21,906.15","22,244.90","21,816.35","3.37B","-0.75%"
"04/10/2026","22,346.75","22,151.05","22,364.30","22,133.15","3.88B","1.40%"
"04/09/2026","22,037.50","22,090.70","22,189.50","21,943.20","3.71B","-0.45%"
"04/08/2026","22,137.10","21,998.60","22,159.50","21,952.40","3.99B","3.95%"
"04/07/2026","21,296.45","21,085.30","21,313.10","20,959.35","2.59B","0.48%"
"04/06/2026","21,194.05","20,990.85","21,217.95","20,789.45","3.22B","1.22%"
"04/02/2026","20,938.35","20,666.70","20,990.05","20,385.65","3.43B","0.02%"
"04/01/2026","20,935.15","21,067.15","21,153.25","20,867.40","3.30B","1.98%"
"03/30/2026","20,528.05","20,762.35","20,889.25","20,490.45","3.48B","-2.34%"
"03/27/2026","21,020.15","21,357.35","21,364.35","21,007.15","3.58B","-2.13%"
"03/25/2026","21,478.20","21,236.25","21,612.45","21,236.05","2.93B","1.95%"
"03/24/2026","21,067.00","21,045.45","21,183.15","20,743.90","2.83B","1.95%"
"03/23/2026","20,664.25","21,079.60","21,090.05","20,611.80","3.14B","-3.11%"
"03/20/2026","21,327.90","21,349.95","21,558.00","21,294.85","3.70B","0.48%"
"03/19/2026","21,225.80","21,466.40","21,562.80","21,156.20","3.29B","-3.16%"
"03/18/2026","21,917.40","21,721.45","21,990.40","21,713.40","2.90B","1.14%"
"03/17/2026","21,669.30","21,585.05","21,729.65","21,446.15","2.52B","0.79%"
"03/16/2026","21,498.80","21,355.95","21,593.25","21,110.00","3.22B","0.50%"
"03/13/2026","21,391.20","21,763.25","21,780.75","21,351.10","3.11B","-2.31%"
"03/12/2026","21,897.50","21,888.40","22,059.60","21,703.90","3.03B","-0.66%"
"03/11/2026","22,042.30","22,351.85","22,440.90","22,009.30","2.36B","-1.35%"
"03/10/2026","22,342.95","22,310.80","22,385.65","22,141.85","2.39B","1.30%"
"03/09/2026","22,056.55","21,995.15","22,090.70","21,743.15","2.56B","-1.89%"
"03/06/2026","22,481.30","22,621.55","22,701.60","22,456.45","2.32B","-0.95%"
"03/05/2026","22,697.80","22,536.75","22,760.85","22,468.20","2.71B","1.29%"
